肖申克的救赎,
                            导演: 弗兰克·德拉邦特 Frank Darabont   主演: 蒂姆·罗宾斯 Tim Robbins /...,9.6,希望让人自由。
霸王别姬,
                            导演: 陈凯歌 Kaige Chen   主演: 张国荣 Leslie Cheung / 张丰毅 Fengyi Zha...,9.6,风华绝代。
这个杀手不太冷,
                            导演: 吕克·贝松 Luc Besson   主演: 让·雷诺 Jean Reno / 娜塔莉·波特曼 ...,9.4,怪蜀黍和小萝莉不得不说的故事。
阿甘正传,
                            导演: 罗伯特·泽米吉斯 Robert Zemeckis   主演: 汤姆·汉克斯 Tom Hanks / ...,9.4,一部美国近现代史。
美丽人生,
                            导演: 罗伯托·贝尼尼 Roberto Benigni   主演: 罗伯托·贝尼尼 Roberto Beni...,9.5,最美的谎言。
泰坦尼克号,
                            导演: 詹姆斯·卡梅隆 James Cameron   主演: 莱昂纳多·迪卡普里奥 Leonardo...,9.3,失去的才是永恒的。 
千与千寻,
                            导演: 宫崎骏 Hayao Miyazaki   主演: 柊瑠美 Rumi Hîragi / 入野自由 Miy...,9.3,最好的宫崎骏，最好的久石让。 
辛德勒的名单,
                            导演: 史蒂文·斯皮尔伯格 Steven Spielberg   主演: 连姆·尼森 Liam Neeson...,9.5,拯救一个人，就是拯救整个世界。
盗梦空间,
                            导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 莱昂纳多·迪卡普里奥 Le...,9.3,诺兰给了我们一场无法盗取的梦。
忠犬八公的故事,
                            导演: 莱塞·霍尔斯道姆 Lasse Hallström   主演: 理查·基尔 Richard Ger...,9.3,永远都不能忘记你所爱的人。
机器人总动员,
                            导演: 安德鲁·斯坦顿 Andrew Stanton   主演: 本·贝尔特 Ben Burtt / 艾丽...,9.3,小瓦力，大人生。
三傻大闹宝莱坞,
                            导演: 拉库马·希拉尼 Rajkumar Hirani   主演: 阿米尔·汗 Aamir Khan / 卡...,9.2,英俊版憨豆，高情商版谢耳朵。
海上钢琴师,
                            导演: 朱塞佩·托纳多雷 Giuseppe Tornatore   主演: 蒂姆·罗斯 Tim Roth / ...,9.2,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 
放牛班的春天,
                            导演: 克里斯托夫·巴拉蒂 Christophe Barratier   主演: 热拉尔·朱尼奥 Gé...,9.3,天籁一般的童声，是最接近上帝的存在。 
楚门的世界,
                            导演: 彼得·威尔 Peter Weir   主演: 金·凯瑞 Jim Carrey / 劳拉·琳妮 Lau...,9.2,如果再也不能见到你，祝你早安，午安，晚安。
大话西游之大圣娶亲,
                            导演: 刘镇伟 Jeffrey Lau   主演: 周星驰 Stephen Chow / 吴孟达 Man Tat Ng...,9.2,一生所爱。
星际穿越,
                            导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 马修·麦康纳 Matthew Mc...,9.2,爱是一种力量，让我们超越时空感知它的存在。
龙猫,
                            导演: 宫崎骏 Hayao Miyazaki   主演: 日高法子 Noriko Hidaka / 坂本千夏 Ch...,9.2,人人心中都有个龙猫，童年就永远不会消失。
教父,
                            导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola   主演: 马龙·白兰度 M...,9.3,千万不要记恨你的对手，这样会让你失去理智。
熔炉,
                            导演: 黄东赫 Dong-hyuk Hwang   主演: 孔侑 Yoo Gong / 郑有美 Yu-mi Jeong ...,9.3,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。
无间道,
                            导演: 刘伟强 / 麦兆辉   主演: 刘德华 / 梁朝伟 / 黄秋生,9.1,香港电影史上永不过时的杰作。
疯狂动物城,
                            导演: 拜伦·霍华德 Byron Howard / 瑞奇·摩尔 Rich Moore   主演: 金妮弗·...,9.2,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。
当幸福来敲门,
                            导演: 加布里尔·穆奇诺 Gabriele Muccino   主演: 威尔·史密斯 Will Smith ...,9.0,平民励志片。 
怦然心动,
                            导演: 罗伯·莱纳 Rob Reiner   主演: 玛德琳·卡罗尔 Madeline Carroll / 卡...,9.0,真正的幸福是来自内心深处。
触不可及,
                            导演: 奥利维·那卡什 Olivier Nakache / 艾力克·托兰达 Eric Toledano   主...,9.2,满满温情的高雅喜剧。
蝙蝠侠：黑暗骑士,
                            导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 克里斯蒂安·贝尔 Christ...,9.1,无尽的黑暗。
乱世佳人,
                            导演: 维克多·弗莱明 Victor Fleming / 乔治·库克 George Cukor   主演: 费...,9.2,Tomorrow is another day.
活着,
                            导演: 张艺谋 Yimou Zhang   主演: 葛优 You Ge / 巩俐 Li Gong / 姜武 Wu Jiang,9.2,张艺谋最好的电影。
少年派的奇幻漂流,
                            导演: 李安 Ang Lee   主演: 苏拉·沙玛 Suraj Sharma / 伊尔凡·可汗 Irrfan...,9.0,瑰丽壮观、无人能及的冒险之旅。
控方证人,
                            导演: 比利·怀尔德 Billy Wilder   主演: 泰隆·鲍华 Tyrone Power / 玛琳·...,9.6,比利·怀德满分作品。
天堂电影院,
                            导演: 朱塞佩·托纳多雷 Giuseppe Tornatore   主演: 安东内拉·阿蒂利 Anton...,9.2,那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。
指环王3：王者无敌,
                            导演: 彼得·杰克逊 Peter Jackson   主演: 维果·莫腾森 Viggo Mortensen / ...,9.1,史诗的终章。
鬼子来了,
                            导演: 姜文 Wen Jiang   主演: 姜文 Wen Jiang / 香川照之 Teruyuki Kagawa /...,9.2,对敌人的仁慈，就是对自己残忍。
十二怒汉,
                            导演: Sidney Lumet   主演: 亨利·方达 Henry Fonda / 马丁·鲍尔萨姆 Marti...,9.4,1957年的理想主义。 
天空之城,
                            导演: 宫崎骏 Hayao Miyazaki   主演: 田中真弓 Mayumi Tanaka / 横泽启子 Ke...,9.1,对天空的追逐，永不停止。 
摔跤吧！爸爸,
                            导演: 涅提·蒂瓦里 Nitesh Tiwari   主演: 阿米尔·汗 Aamir Khan / 法缇玛...,9.0,你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。
飞屋环游记,
                            导演: 彼特·道格特 Pete Docter / 鲍勃·彼德森 Bob Peterson   主演: 爱德...,9.0,最后那些最无聊的事情，才是最值得怀念的。 
大话西游之月光宝盒,
                            导演: 刘镇伟 Jeffrey Lau   主演: 周星驰 Stephen Chow / 吴孟达 Man Tat Ng...,9.0,旷古烁今。
搏击俱乐部,
                            导演: 大卫·芬奇 David Fincher   主演: 爱德华·诺顿 Edward Norton / 布拉...,9.0,邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。
哈尔的移动城堡,
                            导演: 宫崎骏 Hayao Miyazaki   主演: 倍赏千惠子 Chieko Baishô / 木村拓...,9.0,带着心爱的人在天空飞翔。
罗马假日,
                            导演: 威廉·惠勒 William Wyler   主演: 奥黛丽·赫本 Audrey Hepburn / 格...,9.0,爱情哪怕只有一天。
闻香识女人,
                            导演: 马丁·布莱斯 Martin Brest   主演: 阿尔·帕西诺 Al Pacino / 克里斯...,9.0,史上最美的探戈。
辩护人,
                            导演: 杨宇硕 Woo-seok Yang   主演: 宋康昊 Kang-ho Song / 吴达洙 Dal-su O...,9.2,电影的现实意义大过电影本身。
窃听风暴,
                            导演: 弗洛里安·亨克尔·冯·多纳斯马尔克 Florian Henckel von Donnersmarck  &n...,9.1,别样人生。
末代皇帝,
                            导演: 贝纳尔多·贝托鲁奇 Bernardo Bertolucci   主演: 尊龙 John Lone / 陈...,9.1,“不要跟我比惨，我比你更惨”再适合这部电影不过了。
两杆大烟枪,
                            导演: Guy Ritchie   主演: Jason Flemyng / Dexter Fletcher / Nick Moran,9.1,4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。
飞越疯人院,
                            导演: 米洛斯·福尔曼 Miloš Forman   主演: 杰克·尼科尔森 Jack Nichols...,9.1,自由万岁。
死亡诗社,
                            导演: 彼得·威尔 Peter Weir   主演: 罗宾·威廉姆斯 Robin Williams / 罗伯...,9.0,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。
素媛,
                            导演: 李濬益 Jun-ik Lee   主演: 薛景求 Kyung-gu Sol / 严志媛 Ji-won Uhm ...,9.2,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。
寻梦环游记,
                            导演: 李·昂克里奇 Lee Unkrich / 阿德里安·莫利纳 Adrian Molina   主演: ...,9.0,死亡不是真的逝去，遗忘才是永恒的消亡。
